Accession,Originating lab,Submitting lab,Authors,Date submitted
EPI_ISL_418241,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris,Albert et al,2020-03-29
EPI_ISL_418242,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris,Albert et al,2020-03-29
EPI_ISL_420037,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris,Albert et al,2020-04-04
EPI_ISL_413485,Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention,Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention,Li et al,2020-03-05
EPI_ISL_420600,Servicio Virosis Respiratorias-Departamento Virologia-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister et al,2020-04-06
EPI_ISL_420599,Servicio Virosis Respiratorias-Departamento Virologia-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister et al,2020-04-06
EPI_ISL_420598,Servicio Virosis Respiratorias-Departamento Virologia-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister et al,2020-04-06
EPI_ISL_407893,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-02-06
EPI_ISL_408976,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-02-11
EPI_ISL_408977,Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney,Eden et al,2020-02-11
EPI_ISL_417030,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-24
EPI_ISL_412975,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-02
EPI_ISL_413213,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-04
EPI_ISL_413214,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-04
EPI_ISL_413594,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-03-08
EPI_ISL_413595,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-03-08
EPI_ISL_413596,Centre for Infectious Diseases and Microbiology - Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-03-08
EPI_ISL_413597,Centre for Infectious Diseases and Microbiology- Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,2020-03-08
EPI_ISL_413598,Centre for Infectious Diseases and Microbiology - Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,2020-03-08
EPI_ISL_413599,Centre for Infectious Diseases and Microbiology - Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,2020-03-08
EPI_ISL_413600,Centre for Infectious Diseases and Microbiology - Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gall et al,2020-03-08
EPI_ISL_417383,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-03-25
EPI_ISL_417384,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-25
EPI_ISL_417385,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,2020-03-25
EPI_ISL_417386,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,2020-03-25
EPI_ISL_417387,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,2020-03-25
EPI_ISL_417388,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gall et al,2020-03-25
EPI_ISL_417389,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Arnott et al,2020-03-25
EPI_ISL_417390,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,2020-03-25
EPI_ISL_417391,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Carter et al,2020-03-25
EPI_ISL_417392,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rahman et al,2020-03-25
EPI_ISL_417393,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Holmes et al,2020-03-25
EPI_ISL_417394,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,OSullivan et al,2020-03-25
EPI_ISL_417395,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sintchenko et al,2020-03-25
EPI_ISL_417396,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Chen et al,2020-03-25
EPI_ISL_417397,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Maddocks et al,2020-03-25
EPI_ISL_417398,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Kok et al,2020-03-25
EPI_ISL_417399,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Dwyer et al,2020-03-25
EPI_ISL_417400,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-03-25
EPI_ISL_417401,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-25
EPI_ISL_417402,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,2020-03-25
EPI_ISL_417403,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,2020-03-25
EPI_ISL_417404,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,2020-03-25
EPI_ISL_417405,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gall et al,2020-03-25
EPI_ISL_417406,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Arnott et al,2020-03-25
EPI_ISL_417407,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,2020-03-25
EPI_ISL_417408,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Carter et al,2020-03-25
EPI_ISL_417409,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rahman et al,2020-03-25
EPI_ISL_417410,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Holmes et al,2020-03-25
EPI_ISL_417411,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,OSullivan et al,2020-03-25
EPI_ISL_417412,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sintchenko et al,2020-03-25
EPI_ISL_419831,Royal Darwin Hospital,Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Meumann et al,2020-04-03
EPI_ISL_419832,Royal Darwin Hospital,Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Meumann et al,2020-04-03
EPI_ISL_419833,Royal Darwin Hospital,Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Meumann et al,2020-04-03
EPI_ISL_419835,Royal Darwin Hospital,Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Meumann et al,2020-04-03
EPI_ISL_407894,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-02-06
EPI_ISL_407896,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-02-06
EPI_ISL_410717,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-02-18
EPI_ISL_410718,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-02-18
EPI_ISL_414414,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-03-12
EPI_ISL_417031,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-03-24
EPI_ISL_417032,Rockhampton Base Hospital,Public Health Virology Laboratory,Huang et al,2020-03-24
EPI_ISL_417033,Sullivan Nicolaides Pathology,Public Health Virology Laboratory,Huang et al,2020-03-24
EPI_ISL_418799,Mater Pathology,Public Health Virology Laboratory,Huang et al,2020-03-31
EPI_ISL_418801,Mater Pathology,Public Health Virology Laboratory,Huang et al,2020-03-31
EPI_ISL_418802,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-03-31
EPI_ISL_418803,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-03-31
EPI_ISL_418804,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-03-31
EPI_ISL_418807,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-03-31
EPI_ISL_418808,Pathology Queensland,Public Health Virology Laboratory,Huang et al,2020-03-31
EPI_ISL_420878,Mater Pathology,Public Health Virology Laboratory,Huang et al,2020-04-07
EPI_ISL_420879,Mater Pathology,Public Health Virology Laboratory,Huang et al,2020-04-07
EPI_ISL_420855,Geelong Centre for Emerging Infectious Diseases,Geelong Centre for Emerging Infectious Diseases,Chamings et al,2020-04-07
EPI_ISL_420876,Geelong Centre for Emerging Infectious Diseases,Geelong Centre for Emerging Infectious Diseases,Chamings et al,2020-04-07
EPI_ISL_420877,Geelong Centre for Emerging Infectious Diseases,Geelong Centre for Emerging Infectious Diseases,Chamings et al,2020-04-07
EPI_ISL_406844,Monash Medical Centre,Collaboration between the University of Melbourne at The Peter Doherty Institute for Infection and Immunity, and the Victorian Infectious Disease Reference Laboratory,Caly et al,2020-01-31
EPI_ISL_416410,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-20
EPI_ISL_416411,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-20
EPI_ISL_416412,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-20
EPI_ISL_416413,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-20
EPI_ISL_416414,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-20
EPI_ISL_416415,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-20
EPI_ISL_416514,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-22
EPI_ISL_416515,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-22
EPI_ISL_416516,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-22
EPI_ISL_419812,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-04-03
EPI_ISL_419813,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-04-03
EPI_ISL_419817,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-04-03
EPI_ISL_419814,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-04-03
EPI_ISL_419818,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-04-03
EPI_ISL_419819,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-04-03
EPI_ISL_419820,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-04-03
EPI_ISL_419720,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
EPI_ISL_419714,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
EPI_ISL_419718,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
EPI_ISL_416517,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-03-22
EPI_ISL_419716,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
EPI_ISL_419715,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
EPI_ISL_419821,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-04-03
EPI_ISL_419822,Victorian Infectious Diseases Reference Laboratory (VIDRL),Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute,Caly et al,2020-04-03
EPI_ISL_419725,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
EPI_ISL_419717,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
EPI_ISL_419721,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
EPI_ISL_419727,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
EPI_ISL_419719,Microbiological Diagnostic Unit Public Health Laboratory,Microbiological Diagnostic Unit Public Health Laboratory,Seemann et al,2020-04-03
