Accession,Originating lab,Submitting lab,Authors,Date submitted
EPI_ISL_418241,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris,Albert et al,2020-03-29
EPI_ISL_418242,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris,Albert et al,2020-03-29
EPI_ISL_420037,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris,Albert et al,2020-04-04
EPI_ISL_413485,Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention,Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention,Li et al,2020-03-05
EPI_ISL_420600,Servicio Virosis Respiratorias-Departamento Virologia-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister et al,2020-04-06
EPI_ISL_420599,Servicio Virosis Respiratorias-Departamento Virologia-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister et al,2020-04-06
EPI_ISL_420598,Servicio Virosis Respiratorias-Departamento Virologia-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister et al,2020-04-06
EPI_ISL_407893,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-02-06
EPI_ISL_408976,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-02-11
EPI_ISL_408977,Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney,Eden et al,2020-02-11
EPI_ISL_417030,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-24
EPI_ISL_412975,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-02
EPI_ISL_413213,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-04
EPI_ISL_413214,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,2020-03-04
EPI_ISL_413594,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-03-08
EPI_ISL_413595,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-03-08
EPI_ISL_413596,Centre for Infectious Diseases and Microbiology - Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-03-08
EPI_ISL_427722,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,2020-04-19
EPI_ISL_427717,ACT Pathology, The Canberra Hospital,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sim et al,2020-04-19
EPI_ISL_427656,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Bachmann et al,2020-04-19
EPI_ISL_427657,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,2020-04-19
EPI_ISL_427677,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,2020-04-19
EPI_ISL_427686,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,2020-04-19
EPI_ISL_427748,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,2020-04-19
EPI_ISL_427772,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gall et al,2020-04-19
EPI_ISL_427804,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Arnott et al,2020-04-19
EPI_ISL_427754,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,2020-04-19
EPI_ISL_413597,Centre for Infectious Diseases and Microbiology- Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,2020-03-08
EPI_ISL_427741,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,2020-04-19
EPI_ISL_427661,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sim et al,2020-04-19
EPI_ISL_427666,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Bachmann et al,2020-04-19
